ServC	ServCl	ServB	WhichServ	wC	wCl	wB	NewHA	Cropkcal	Pastkcal	EmittedC	HabAvgImpac	HabStdImpac	DelHAvgImpac	DelHStdImpac	DelQAvgImpac	DelQStdImpac	Combokcal
C	NA	NA	C	0	0.5	0.5	108527402.8	5.91701E+14	3.30714E+12	-29689393344	730.488367	236.114216	0.034253	0.250155	-0.490329	0.159795	5.95008E+14
C	NA	NA	C	0.45	0.275	0.275	109904173.7	5.674E+14	2.76793E+12	-16126160973	733.201618	260.301113	0.2904	0.36455	-0.859524	0.350899	5.70167E+14
C	NA	NA	C	0.5	0.25	0.25	108882605.2	5.60489E+14	2.69362E+12	-15228082134	744.965089	279.837262	0.313231	0.364114	-0.886318	0.346023	5.63183E+14
C	NA	NA	C	0.55	0.225	0.225	109391800.9	5.62441E+14	2.67928E+12	-14940395765	755.520593	295.910901	0.329725	0.362363	-0.905062	0.341487	5.6512E+14
C	NA	NA	C	0.6	0.2	0.2	110721382	5.69284E+14	2.69763E+12	-14995101761	765.24805	309.793131	0.341811	0.359708	-0.918355	0.337048	5.71981E+14
C	NA	NA	C	0.65	0.175	0.175	109803833.9	5.64002E+14	2.66255E+12	-14624221125	773.047752	321.886509	0.350299	0.358753	-0.928849	0.333805	5.66664E+14
C	NA	NA	C	0.7	0.15	0.15	109193428	5.6062E+14	2.64023E+12	-14385480787	780.343951	332.326053	0.356307	0.357824	-0.936311	0.33136	5.6326E+14
C	NA	NA	C	0.75	0.125	0.125	108706265.7	5.57908E+14	2.62385E+12	-14202569917	786.901822	341.392353	0.361685	0.357045	-0.942933	0.329307	5.60532E+14
C	NA	NA	C	0.8	0.1	0.1	108388817.1	5.56145E+14	2.61237E+12	-14082288719	793.219371	349.822507	0.366011	0.355984	-0.948348	0.327354	5.58758E+14
C	NA	NA	C	0.85	0.075	0.075	108225437.8	5.55171E+14	2.60486E+12	-14012840013	799.342937	357.916491	0.369764	0.354924	-0.952981	0.325628	5.57775E+14
C	NA	NA	C	0.9	0.05	0.05	108171797.7	5.54927E+14	2.6023E+12	-13981210607	805.724294	366.688386	0.372558	0.354151	-0.956446	0.324422	5.57529E+14
C	NA	NA	C	0.05	0.475	0.475	110423966	5.99587E+14	3.33511E+12	-29465103316	723.530959	233.424544	0.034577	0.266617	-0.503825	0.183137	6.02922E+14
C	NA	NA	C	0.95	0.025	0.025	108099104.3	5.54618E+14	2.59969E+12	-13955286794	810.758194	373.054244	0.375483	0.35302	-0.959914	0.322888	5.57218E+14
C	NA	NA	C	1	0	0	108126626.3	5.54811E+14	2.60016E+12	-13958059591	816.67901	380.407998	0.378109	0.35223	-0.963213	0.321352	5.57411E+14
NA	Cl	NA	Cl	0.5	0	0.5	108264448.9	5.60398E+14	2.59875E+12	-14779952636	687.56802	206.844934	0.385232	0.356363	-0.969102	0.318136	5.62996E+14
NA	Cl	NA	Cl	0.475	0.05	0.475	108639642.5	5.62016E+14	2.61213E+12	-14856643655	687.712392	206.341916	0.376127	0.358469	-0.958605	0.323143	5.64628E+14
NA	Cl	NA	Cl	0.45	0.1	0.45	109432297.1	5.65945E+14	2.64212E+12	-15083632718	687.766416	205.090055	0.364665	0.361087	-0.945604	0.328716	5.68587E+14
NA	Cl	NA	Cl	0.425	0.15	0.425	108021760.8	5.58314E+14	2.62411E+12	-14926025069	686.060538	202.855007	0.348144	0.365024	-0.927667	0.336857	5.60938E+14
NA	Cl	NA	Cl	0.4	0.2	0.4	110438757	5.71953E+14	2.73076E+12	-15917716693	687.735769	200.774207	0.32392	0.366351	-0.898576	0.345026	5.74683E+14
NA	Cl	NA	Cl	0.375	0.25	0.375	109312991.2	5.66591E+14	2.77332E+12	-16531963165	690.515582	198.505528	0.284484	0.367647	-0.854332	0.353441	5.69365E+14
NA	Cl	NA	Cl	0.35	0.3	0.35	109236442.8	5.67743E+14	2.85952E+12	-17795198037	693.956657	199.313629	0.231659	0.360125	-0.796455	0.35448	5.70602E+14
NA	Cl	NA	Cl	0.325	0.35	0.325	109445684.4	5.70627E+14	2.95149E+12	-19143533746	700.774478	206.650373	0.17275	0.342457	-0.734466	0.344721	5.73578E+14
C	NA	NA	C	0.1	0.45	0.45	109107389.5	5.87778E+14	3.24321E+12	-27420488532	704.915304	219.560997	0.040553	0.28398	-0.531211	0.224921	5.91021E+14
NA	Cl	NA	Cl	0.3	0.4	0.3	109844742.2	5.74185E+14	3.0197E+12	-20155918410	712.410872	220.084119	0.133989	0.326241	-0.691901	0.335723	5.77204E+14
NA	Cl	NA	Cl	0.275	0.45	0.275	108250375.9	5.67767E+14	3.03286E+12	-20856046765	724.180637	242.91267	0.102875	0.31359	-0.652749	0.325559	5.708E+14
