"wC"	"wCl"	"wB"	"NewHA"	"Cropkcal"	"Pastkcal"	"EmittedC"	"HabAvgImpac"	"HabStdImpac"	"DelHAvgImpac"	"DelHStdImpac"	"DelQAvgImpac"	"DelQStdImpac"	"ClimRegIndexAvgImpac"	"ClimRegIndexStdImpac"	"Combokcal"	"SimulationFactor"
"0"	"0"	"1"	"112190000"	"5.8624e+14"	"2.7276e+12"	"-2.0173e+10"	"466.59"	"45.276"	"0.36407"	"0.31477"	"-0.96767"	"0.30258"	"0.58331"	"0.18413"	"5.8897e+14"	"AllLand"
"0"	"0.45"	"0.55"	"109630000"	"6.0125e+14"	"3.4232e+12"	"-3.1118e+10"	"619.09"	"110.37"	"0.042413"	"0.15085"	"-0.45224"	"0.11623"	"0.2302"	"0.063912"	"6.0467e+14"	"AllLand"
"0.2"	"0.6"	"0.2"	"111350000"	"6.064e+14"	"3.4987e+12"	"-2.9693e+10"	"678.14"	"192.53"	"0.033785"	"0.17132"	"-0.43559"	"0.14113"	"0.2278"	"0.076244"	"6.099e+14"	"AllLand"
"0.2"	"0.64"	"0.16"	"111580000"	"6.0875e+14"	"3.5283e+12"	"-3.0255e+10"	"691.33"	"202.36"	"0.032744"	"0.16572"	"-0.42661"	"0.12108"	"0.22252"	"0.065"	"6.1228e+14"	"AllLand"
"0.2"	"0.68"	"0.12"	"112120000"	"6.1256e+14"	"3.5587e+12"	"-3.063e+10"	"702.1"	"211.27"	"0.033871"	"0.16024"	"-0.42335"	"0.11356"	"0.22"	"0.059632"	"6.1612e+14"	"AllLand"
"0.2"	"0.72"	"0.08"	"112360000"	"6.1442e+14"	"3.573e+12"	"-3.0772e+10"	"710.56"	"218.82"	"0.03425"	"0.15754"	"-0.42247"	"0.11268"	"0.21892"	"0.05785"	"6.18e+14"	"AllLand"
"0.2"	"0.76"	"0.04"	"112840000"	"6.1754e+14"	"3.5926e+12"	"-3.0967e+10"	"717.71"	"224.39"	"0.034953"	"0.15537"	"-0.42197"	"0.11212"	"0.21819"	"0.056366"	"6.2113e+14"	"AllLand"
"0.2"	"0.8"	"0"	"113300000"	"6.2036e+14"	"3.6109e+12"	"-3.1154e+10"	"724.34"	"229.92"	"0.034836"	"0.15471"	"-0.42163"	"0.11195"	"0.21778"	"0.055514"	"6.2397e+14"	"AllLand"
"0.25"	"0"	"0.75"	"110970000"	"5.7321e+14"	"2.6467e+12"	"-1.5673e+10"	"505"	"84.594"	"0.40177"	"0.32176"	"-0.9888"	"0.2969"	"0.6109"	"0.17357"	"5.7586e+14"	"AllLand"
"0.25"	"0.0375"	"0.7125"	"110910000"	"5.7344e+14"	"2.6554e+12"	"-1.5716e+10"	"505.73"	"88.109"	"0.38989"	"0.32481"	"-0.97342"	"0.30689"	"0.59991"	"0.18168"	"5.7609e+14"	"AllLand"
"0.25"	"0.075"	"0.675"	"111410000"	"5.7681e+14"	"2.6873e+12"	"-1.5999e+10"	"506.52"	"91.71"	"0.37517"	"0.32845"	"-0.95454"	"0.3182"	"0.58648"	"0.19069"	"5.7949e+14"	"AllLand"
"0.25"	"0.1125"	"0.6375"	"112400000"	"5.8304e+14"	"2.7407e+12"	"-1.6519e+10"	"508.49"	"98.222"	"0.35802"	"0.33153"	"-0.93222"	"0.32964"	"0.57051"	"0.19985"	"5.8578e+14"	"AllLand"
"0"	"0.5"	"0.5"	"110150000"	"6.0452e+14"	"3.4595e+12"	"-3.1362e+10"	"628.04"	"115.8"	"0.039206"	"0.14522"	"-0.44529"	"0.11169"	"0.22551"	"0.059538"	"6.0798e+14"	"AllLand"
"0.25"	"0.15"	"0.6"	"108670000"	"5.6335e+14"	"2.6798e+12"	"-1.608e+10"	"509.29"	"103.57"	"0.33506"	"0.33612"	"-0.90642"	"0.34058"	"0.55174"	"0.20744"	"5.6603e+14"	"AllLand"
"0.25"	"0.1875"	"0.5625"	"110990000"	"5.7697e+14"	"2.7922e+12"	"-1.7183e+10"	"515.28"	"112.23"	"0.30887"	"0.33602"	"-0.87229"	"0.34705"	"0.52753"	"0.21248"	"5.7976e+14"	"AllLand"
"0.25"	"0.225"	"0.525"	"109620000"	"5.7039e+14"	"2.8056e+12"	"-1.7478e+10"	"520.62"	"121.57"	"0.27836"	"0.33553"	"-0.83609"	"0.35228"	"0.50168"	"0.2148"	"5.7319e+14"	"AllLand"
