wC	wCl	wB	NewHA	Cropkcal	Pastkcal	EmittedC	HabAvgImpac	HabStdImpac	DelHAvgImpac	DelHStdImpac	DelQAvgImpac	DelQStdImpac	ClimRegIndexAvgImpac	ClimRegIndexStdImpac	Combokcal
0	0	1	108000238.1	5.8404E+14	2.79154E+12	-25245717845	558.169058	91.675297	0.348566	0.364278	-0.888222	0.321218	0.563004	0.186296	5.86831E+14
0	0.45	0.55	109927799.2	5.98663E+14	3.31734E+12	-29782984846	706.301209	216.157552	0.042302	0.270446	-0.508263	0.182496	0.289874	0.111997	6.01981E+14
0.2	0.6	0.2	108418937.8	5.84418E+14	3.32637E+12	-27469802480	869.199946	407.61813	0.020306	0.223424	-0.480048	0.188897	0.259497	0.105913	5.87744E+14
0.2	0.64	0.16	110942317.3	6.00635E+14	3.44772E+12	-28887756153	936.846993	473.716912	0.018643	0.207381	-0.459149	0.161152	0.245666	0.090624	6.04082E+14
0.2	0.68	0.12	109170803.5	5.92909E+14	3.43166E+12	-28990924707	1010.905916	540.522825	0.019014	0.189269	-0.439964	0.136573	0.232546	0.075837	5.96341E+14
0.2	0.72	0.08	110370116.2	6.01454E+14	3.49703E+12	-29846181475	1097.870347	603.897078	0.022961	0.173828	-0.428904	0.120721	0.223941	0.065006	6.04951E+14
0.2	0.76	0.04	108473232.3	5.92719E+14	3.45773E+12	-29551201629	1152.262035	634.533298	0.027399	0.160196	-0.42247	0.115809	0.218164	0.058484	5.96177E+14
0.2	0.8	0	110006894.4	6.02363E+14	3.5138E+12	-30198467713	1212.309969	660.87746	0.032819	0.153478	-0.4191	0.111356	0.215933	0.054652	6.05877E+14
0.25	0	0.75	110666451.1	5.80675E+14	2.68525E+12	-16803360141	621.83501	139.689475	0.389014	0.354426	-0.973278	0.313039	0.610661	0.172437	5.83361E+14
0.25	0.0375	0.7125	109869939.8	5.76143E+14	2.67249E+12	-16543348329	623.763568	141.380259	0.378928	0.356619	-0.961224	0.319373	0.602127	0.17773	5.78815E+14
0.25	0.075	0.675	109529382.2	5.74088E+14	2.67936E+12	-16445765728	626.687546	143.552447	0.364618	0.359234	-0.944157	0.327871	0.589818	0.185233	5.76767E+14
0.25	0.1125	0.6375	109960757	5.76597E+14	2.72037E+12	-16681611241	630.144495	145.351804	0.346364	0.36188	-0.922475	0.337572	0.573789	0.194659	5.79317E+14
0	0.5	0.5	108527402.8	5.91701E+14	3.30714E+12	-29689393344	730.488367	236.114216	0.034253	0.250155	-0.490329	0.159795	0.275156	0.099406	5.95008E+14
0.25	0.15	0.6	108360166.4	5.67922E+14	2.72072E+12	-16626133959	633.245072	148.11783	0.322343	0.365531	-0.89629	0.348182	0.554214	0.204117	5.70643E+14
0.25	0.1875	0.5625	107881165.2	5.65701E+14	2.76878E+12	-17186878100	638.517185	151.59715	0.287478	0.364297	-0.857582	0.353511	0.525083	0.209211	5.6847E+14
0.25	0.225	0.525	108643990.6	5.69997E+14	2.85721E+12	-18217996066	647.764685	157.476276	0.24699	0.357876	-0.811734	0.351947	0.490898	0.208314	5.72854E+14
0.25	0.2625	0.4875	110234531.1	5.78713E+14	2.96456E+12	-19444749939	658.52842	164.643704	0.20904	0.349442	-0.770407	0.347984	0.459704	0.205018	5.81678E+14
0.25	0.3	0.45	109392057.6	5.74059E+14	2.97708E+12	-19802182926	670.194161	173.949414	0.175555	0.340433	-0.735485	0.342528	0.433677	0.198684	5.77036E+14
0.25	0.3375	0.4125	108293326.1	5.68128E+14	2.97199E+12	-19990213773	680.843837	183.382877	0.14746	0.331745	-0.706239	0.336878	0.412158	0.192025	5.711E+14
0.25	0.375	0.375	109189547.7	5.73123E+14	3.01995E+12	-20639783122	692.292502	193.826975	0.128598	0.323462	-0.683734	0.331301	0.395616	0.187406	5.76143E+14
0.25	0.4125	0.3375	109912297.2	5.77419E+14	3.06667E+12	-21282297239	703.881654	206.224657	0.11223	0.316584	-0.66316	0.325668	0.380996	0.183415	5.80485E+14
0.25	0.45	0.3	110398115.8	5.80719E+14	3.1109E+12	-21958533708	718.689667	228.037477	0.096896	0.309167	-0.641964	0.318412	0.366239	0.178779	5.8383E+14
0.25	0.4875	0.2625	110553864.7	5.83002E+14	3.15841E+12	-22726958185	742.137242	271.078649	0.081384	0.300474	-0.617567	0.309085	0.349781	0.173677	5.86161E+14
0	0.55	0.45	108980981	5.95144E+14	3.3368E+12	-29973713223	749.799062	254.31349	0.037516	0.228667	-0.487067	0.154577	0.268283	0.093398	5.98481E+14
0.25	0.525	0.225	110614693.1	5.86158E+14	3.21782E+12	-23763810585	775.570557	319.803856	0.068806	0.282969	-0.588974	0.293986	0.329947	0.165501	5.89376E+14
0.25	0.5625	0.1875	109276200	5.82627E+14	3.25368E+12	-24891554877	825.916102	376.60504	0.049034	0.25954	-0.546182	0.266817	0.301403	0.150157	5.85881E+14
0.25	0.6	0.15	107890379.2	5.78875E+14	3.28064E+12	-25937329224	887.350618	437.508008	0.0327	0.23303	-0.503521	0.228953	0.273308	0.127919	5.82156E+14
0.25	0.6375	0.1125	108653492.6	5.86676E+14	3.36641E+12	-27406502655	975.06272	517.703379	0.022307	0.211944	-0.46519	0.185375	0.249614	0.103211	5.90043E+14
0.25	0.675	0.075	108250633.7	5.86951E+14	3.39664E+12	-28126810202	1056.757187	581.044199	0.019905	0.195015	-0.442071	0.153931	0.234606	0.085243	5.90347E+14
0.25	0.7125	0.0375	109744610.5	5.97021E+14	3.46808E+12	-29182217862	1132.121469	625.244787	0.023894	0.179556	-0.430922	0.133488	0.226416	0.072655	6.00489E+14
0.25	0.75	0	110818691.8	6.04845E+14	3.52077E+12	-30061981328	1197.073243	653.268489	0.029494	0.167647	-0.423312	0.11667	0.220994	0.061916	6.08366E+14
0.3	0	0.7	109657256	5.74031E+14	2.656E+12	-16193205967	632.123325	149.669568	0.3887	0.355303	-0.97187	0.315383	0.610144	0.174007	5.76687E+14
0.3	0.035	0.665	108966872.1	5.69696E+14	2.64268E+12	-15945300282	634.429363	151.562832	0.379739	0.358005	-0.961617	0.321063	0.602918	0.178859	5.72339E+14
0.3	0.07	0.63	108354584.1	5.65926E+14	2.63518E+12	-15727005406	638.05788	154.716136	0.368584	0.360989	-0.948571	0.327728	0.59384	0.184332	5.68562E+14
0	0.6	0.4	109956097.8	6.01467E+14	3.39875E+12	-30463105158	789.317755	301.37134	0.037533	0.207277	-0.47665	0.147296	0.256998	0.086203	6.04866E+14
0.3	0.105	0.595	108285391.9	5.65219E+14	2.64793E+12	-15731869871	641.712438	157.669843	0.354971	0.363785	-0.932849	0.334921	0.582553	0.190773	5.67867E+14
